index,variable,score,k,weight,data
test_0,Accuracy,0.9457283773313933,1,uniform,0
test_0,Precission,0.7665615141955836,1,uniform,0
test_0,Recall,0.7590004931777083,1,uniform,0
test_0,F1_score,0.762762266644639,1,uniform,0
test_0,Accuracy,0.9564617623159923,1,uniform,1
test_0,Precission,0.8143403759773749,1,uniform,1
test_0,Recall,0.8047016274864376,1,uniform,1
test_0,F1_score,0.8094923102364809,1,uniform,1
test_0,Accuracy,0.9562350006613881,1,uniform,2
test_0,Precission,0.8158644977360389,1,uniform,2
test_0,Recall,0.7997698504027618,1,uniform,2
test_0,F1_score,0.8077370081354805,1,uniform,2
test_0,Accuracy,0.9457283773313933,1,distance,0
test_0,Precission,0.7665615141955836,1,distance,0
test_0,Recall,0.7590004931777083,1,distance,0
test_0,F1_score,0.762762266644639,1,distance,0
test_0,Accuracy,0.9564617623159923,1,distance,1
test_0,Precission,0.8143403759773749,1,distance,1
test_0,Recall,0.8047016274864376,1,distance,1
test_0,F1_score,0.8094923102364809,1,distance,1
test_0,Accuracy,0.9562350006613881,1,distance,2
test_0,Precission,0.8158644977360389,1,distance,2
test_0,Recall,0.7997698504027618,1,distance,2
test_0,F1_score,0.8077370081354805,1,distance,2
test_0,Accuracy,0.9527201950150229,3,uniform,0
test_0,Precission,0.8157291482983601,3,uniform,0
test_0,Recall,0.7604800263028111,3,uniform,0
test_0,F1_score,0.787136294027565,3,uniform,0
test_0,Accuracy,0.9637370320678773,3,uniform,1
test_0,Precission,0.8587181254307374,3,uniform,1
test_0,Recall,0.8193325661680092,3,uniform,1
test_0,F1_score,0.8385631361992092,3,uniform,1
test_0,Accuracy,0.9620174228537954,3,uniform,2
test_0,Precission,0.8490145672664953,3,uniform,2
test_0,Recall,0.8144007890843334,3,uniform,2
test_0,F1_score,0.8313475415338144,3,uniform,2
test_0,Accuracy,0.9525501237740698,3,distance,0
test_0,Precission,0.8153248587570622,3,distance,0
test_0,Recall,0.7591648857471642,3,distance,0
test_0,F1_score,0.7862432961607219,3,distance,0
test_0,Accuracy,0.9636992384587766,3,distance,1
test_0,Precission,0.8584223217361351,3,distance,1
test_0,Recall,0.8193325661680092,3,distance,1
test_0,F1_score,0.838422070821768,3,distance,1
test_0,Accuracy,0.9621497004856479,3,distance,2
test_0,Precission,0.8497942386831275,3,distance,2
test_0,Recall,0.8147295742232451,3,distance,2
test_0,F1_score,0.8318925723877466,3,distance,2
test_0,Accuracy,0.9544587010336552,5,uniform,0
test_0,Precission,0.8262568839936045,5,uniform,0
test_0,Recall,0.7645898405392076,5,uniform,0
test_0,F1_score,0.7942281420765027,5,uniform,0
test_0,Accuracy,0.9654944348910599,5,uniform,1
test_0,Precission,0.8684438289769777,5,uniform,1
test_0,Recall,0.8247575209600526,5,uniform,1
test_0,F1_score,0.8460370994940978,5,uniform,1
test_0,Accuracy,0.9642472457907368,5,uniform,2
test_0,Precission,0.8608575856724643,5,uniform,2
test_0,Recall,0.8217984547098471,5,uniform,2
test_0,F1_score,0.8408746846089151,5,uniform,2
test_0,Accuracy,0.9542697329881517,5,distance,0
test_0,Precission,0.825253063399041,5,distance,0
test_0,Recall,0.7639322702613842,5,distance,0
test_0,F1_score,0.7934095953559843,5,distance,0
test_0,Accuracy,0.9654944348910599,5,distance,1
test_0,Precission,0.8685714285714285,5,distance,1
test_0,Recall,0.8245931283905967,5,distance,1
test_0,F1_score,0.8460111317254174,5,distance,1
test_0,Accuracy,0.9643228330089382,5,distance,2
test_0,Precission,0.8614509736343271,5,distance,2
test_0,Recall,0.8217984547098471,5,distance,2
test_0,F1_score,0.8411576644792192,5,distance,2
test_0,Accuracy,0.9561216198340861,7,uniform,0
test_0,Precission,0.8384020154759763,7,uniform,0
test_0,Recall,0.7659049810948545,7,uniform,0
test_0,F1_score,0.8005154639175257,7,uniform,0
test_0,Accuracy,0.9668927984277859,7,uniform,1
test_0,Precission,0.8757591532188096,7,uniform,1
test_0,Recall,0.8296892980437284,7,uniform,1
test_0,F1_score,0.8521019753503292,7,uniform,1
test_0,Accuracy,0.9646062850771935,7,uniform,2
test_0,Precission,0.8671084757586327,7,uniform,2
test_0,Recall,0.8173598553345389,7,uniform,2
test_0,F1_score,0.8414995345688415,7,uniform,2
test_0,Accuracy,0.9560271358113342,7,distance,0
test_0,Precission,0.8375269590222861,7,distance,0
test_0,Recall,0.7660693736643104,7,distance,0
test_0,F1_score,0.800206061646776,7,distance,0
test_0,Accuracy,0.9669872824505377,7,distance,1
test_0,Precission,0.8761276891047883,7,distance,1
test_0,Recall,0.830182475752096,7,distance,1
test_0,F1_score,0.8525365071326074,7,distance,1
test_0,Accuracy,0.9648330467317977,7,distance,2
test_0,Precission,0.8685405027932961,7,distance,2
test_0,Recall,0.8178530330429065,7,distance,2
test_0,F1_score,0.8424350182033697,7,distance,2
test_0,Accuracy,0.9545720818609573,10,uniform,0
test_0,Precission,0.8616080204442698,10,uniform,0
test_0,Recall,0.720532631925037,10,uniform,0
test_0,F1_score,0.7847806624888093,10,uniform,0
test_0,Accuracy,0.9660235454184697,10,uniform,1
test_0,Precission,0.8936248392430645,10,uniform,1
test_0,Recall,0.7996054578333059,10,uniform,1
test_0,F1_score,0.8440048585806004,10,uniform,1
test_0,Accuracy,0.9638882065042801,10,uniform,2
test_0,Precission,0.889324374766704,10,uniform,2
test_0,Recall,0.7833305934571757,10,uniform,2
test_0,F1_score,0.8329691460536666,10,uniform,2
test_0,Accuracy,0.9567263175796973,10,distance,0
test_0,Precission,0.8432579185520362,10,distance,0
test_0,Recall,0.7659049810948545,10,distance,0
test_0,F1_score,0.8027222605099932,10,distance,0
test_0,Accuracy,0.9671762504960412,10,distance,1
test_0,Precission,0.8790997906489881,10,distance,1
test_0,Recall,0.8283741574880815,10,distance,1
test_0,F1_score,0.852983495556496,10,distance,1
test_0,Accuracy,0.9653054668455564,10,distance,2
test_0,Precission,0.8741850220264317,10,distance,2
test_0,Recall,0.8155515370705244,10,distance,2
test_0,F1_score,0.8438509950671883,10,distance,2
test_0,Accuracy,0.9561594134431868,15,uniform,0
test_0,Precission,0.8469481836621796,15,uniform,0
test_0,Recall,0.7550550715107677,15,uniform,0
test_0,F1_score,0.7983660698765861,15,uniform,0
test_0,Accuracy,0.966798314405034,15,uniform,1
test_0,Precission,0.8801405975395431,15,uniform,1
test_0,Recall,0.8232779878349499,15,uniform,1
test_0,F1_score,0.8507602140490954,15,uniform,1
test_0,Accuracy,0.9644929042498913,15,uniform,2
test_0,Precission,0.8746880570409982,15,uniform,2
test_0,Recall,0.806674338319908,15,uniform,2
test_0,F1_score,0.8393055674335071,15,uniform,2
test_0,Accuracy,0.9565940399478449,15,distance,0
test_0,Precission,0.8483621641516378,15,distance,0
test_0,Recall,0.7578497451915174,15,distance,0
test_0,F1_score,0.8005557002691674,15,distance,0
test_0,Accuracy,0.9668172112095844,15,distance,1
test_0,Precission,0.8805628847845207,15,distance,1
test_0,Recall,0.8229492026960381,15,distance,1
test_0,F1_score,0.8507817811012917,15,distance,1
test_0,Accuracy,0.9651353956046033,15,distance,2
test_0,Precission,0.8769121309142653,15,distance,2
test_0,Recall,0.8104553674173928,15,distance,2
test_0,F1_score,0.8423750533959845,15,distance,2
test_0,Accuracy,0.9550822955838167,20,uniform,0
test_0,Precission,0.8620554904259476,20,uniform,0
test_0,Recall,0.7253000164392569,20,uniform,0
test_0,F1_score,0.7877868047495759,20,uniform,0
test_0,Accuracy,0.966306997486725,20,uniform,1
test_0,Precission,0.8917638483965015,20,uniform,1
test_0,Recall,0.8045372349169817,20,uniform,1
test_0,F1_score,0.8459078731311036,20,uniform,1
test_0,Accuracy,0.9635291672178234,20,uniform,2
test_0,Precission,0.8840392084335121,20,uniform,2
test_0,Recall,0.7857964819990136,20,uniform,2
test_0,F1_score,0.8320278503046127,20,uniform,2
test_0,Accuracy,0.9563294846841399,20,distance,0
test_0,Precission,0.8517344274524431,20,distance,0
test_0,Recall,0.7507808647049153,20,distance,0
test_0,F1_score,0.7980777632153778,20,distance,0
test_0,Accuracy,0.9673463217369943,20,distance,1
test_0,Precission,0.8839710809381062,20,distance,1
test_0,Recall,0.8240999506822292,20,distance,1
test_0,F1_score,0.8529862174578867,20,distance,1
test_0,Accuracy,0.9650976019955025,20,distance,2
test_0,Precission,0.8783494105037514,20,distance,2
test_0,Recall,0.8083182640144665,20,distance,2
test_0,F1_score,0.8418799760294495,20,distance,2
